State,Pop Density
Alabama,95.8
Alaska,1.3
Arizona,60.1
Arkansas,57.2
California,251
Colorado,52.6
Connecticut,741.2
Delaware,484.1
Florida,375.9
Georgia,176.4
Hawaii,222.9
Idaho,20
Illinois,231.4
Indiana,184.6
Iowa,55.9
Kansas,35.6
Kentucky,111.4
Louisiana,107.2
Maine,43.1
Maryland,614.5
Massachusetts,866.6
Michigan,174.7
Minnesota,69
Mississippi,63.8
Missouri,88.3
Montana,7.1
Nebraska,24.7
Nevada,26.3
New Hampshire,148.4
New Jersey,"1,207.80"
New Mexico,17.2
New York,419.3
North Carolina,206.2
North Dakota,11
Ohio,283.6
Oklahoma,57
Oregon,42
Pennsylvania,285.7
Rhode Island,"1,010.80"
South Carolina,162.6
South Dakota,11.3
Tennessee,160.1
Texas,104.9
Utah,36.5
Vermont,67.7
Virginia,211.7
Washington,107.8
West Virginia,76.6
Wisconsin,106.3
Wyoming,6